x,y,z,token
-10.381534,-10.247995,19.332756,does
4.966109,-18.430912,-18.779406,mouth
32.55683,-6.8513827,13.654627,year
39.4476,-3.5189307,-2.8027372,four
9.290765,-2.6977184,-6.3405256,within
-5.484943,-10.987658,-2.8875442,known
7.079536,-8.084303,-10.063351,strong
13.327939,17.69209,10.024729,feet
2.9757097,-2.585518,-15.339651,power
11.735192,9.588146,-11.2638235,air
-14.024965,21.722134,20.180716,captain
-17.955063,3.8817015,7.5612063,felt
-2.1547358,-15.120254,-26.514284,sister
22.96787,-18.73972,0.087278016,servant
-11.528983,21.893768,19.077953,ahab
-12.520689,-1.8782636,1.0586673,present
22.035437,-5.6838365,14.438877,near
-7.5027657,-7.6413846,3.405127,whether
23.479391,-8.479515,-13.679252,holy
19.52575,-5.3473186,-4.094884,cast
19.940691,-29.123314,-3.751117,33
23.390326,-19.014708,-6.6893873,fathers
-14.995593,-24.568956,-14.333383,asked
-7.7455263,10.467579,20.925385,sort
-9.30928,-9.882348,14.353383,best
9.259015,-1.2557356,13.266145,turn
23.52873,-16.407001,-2.4916947,servants
-13.325997,28.363136,7.978626,looking
38.666794,-4.096911,-3.0863335,five
19.189789,-25.061108,-2.1902874,brethren
-10.702401,-13.711518,19.762268,mean
26.176352,-20.836327,2.1191876,daughter
-6.0914555,-13.329027,9.162965,happy
11.678393,14.537752,23.248692,small
0.23569521,17.742508,11.844711,open
-8.110385,8.140174,23.1507,boy
-18.66328,-2.0693617,22.730703,next
34.94019,-3.9986165,-2.196387,seven
-2.2150252,-29.498547,-8.098258,peace
-11.7596855,29.597872,5.6379347,sat
10.888834,25.040892,-14.900988,sun
5.165742,-16.27869,3.5818758,return
-34.08062,-4.720243,10.619569,anne
-25.386938,-0.5366588,16.40395,miss
9.35887,1.0501429,13.75434,hold
8.454125,5.8463717,-18.119005,above
-9.421478,-12.217809,17.51606,want
1.5909649,-7.120097,20.381395,else
8.238574,-7.224047,4.0337076,child
5.7163754,-16.141869,-5.1168613,live
20.304028,-31.09353,-2.3205214,34
-16.81963,15.050271,19.42459,turnbull
-10.595197,-4.580144,2.7339227,since
0.20645626,4.9321895,-26.327103,fell
-0.8945961,3.7319868,-5.327572,few
-16.925182,10.100345,24.768692,",'"
0.49053583,-22.755056,3.37877,pray
-0.8745027,-25.892422,-7.009926,truth
12.871876,-25.243229,-7.365133,glory
-3.4217951,1.2338576,0.7910979,certain
31.618162,1.0339434,1.9293857,cities
-16.729284,14.718896,19.281359,syme
-18.405918,1.3317674,20.877047,lady
-11.176274,-1.8908188,11.00223,true
-19.937819,-1.864734,24.188122,coming
-13.934388,-1.2012256,4.6391397,least
-21.08475,-2.0320554,-8.181629,others
12.508248,1.8205705,-2.1214168,lay
18.506317,16.73884,2.3617055,ground
-9.31167,-20.714067,7.4338803,leave
21.358875,-4.47947,-16.332424,flesh
9.25546,-5.1192093,-18.64527,until
-15.077357,-11.680119,-16.878096,manner
-9.288902,5.8224473,-28.370459,passed
2.424747,-15.836985,-4.8934493,cause
-33.832687,-2.9058883,11.602086,harriet
5.416343,-21.45901,0.58193296,walk
-10.124845,26.234888,-8.422607,eye
-14.773274,-3.7542343,13.979873,matter
-7.14018,-21.771034,-19.114899,afraid
-2.0948915,-9.687612,11.123363,alone
-35.656548,11.551681,-3.224024,evening
-14.967205,-18.331678,11.597738,wish
-7.4574614,10.358187,25.315779,got
9.641022,-6.867716,-9.005205,fall
-24.548931,-2.7094898,-19.863842,family
32.948483,-21.499203,-2.1008089,commanded
-17.914173,7.500915,21.21079,"--"""
-16.100302,13.239031,-19.4422,less
4.2452297,-15.493221,19.424763,enter
-7.2513623,-8.326577,7.20577,friends
-7.317127,25.888191,9.756229,towards
-20.417835,9.614514,22.480446,replied
-5.505823,-21.982323,5.082764,answer
21.549519,-31.027767,-0.89904076,36
-13.463596,7.970199,-12.438401,kind
2.4493232,20.995804,3.9076946,behind
38.487198,-4.9514055,-3.6067371,twenty
23.57123,0.0778755,-15.751202,drink
27.596134,4.340137,8.947394,toward
5.545256,-16.334257,-5.219461,die
14.606785,25.90278,5.411323,black
16.577488,2.256041,4.3112216,war
-5.8416476,3.0273829,1.4857035,times
21.647379,-30.956858,-1.9684391,35
-2.751623,-23.432207,2.2753036,bear
34.701687,-3.6424787,11.197291,second
-22.362541,21.66799,-4.4732203,hour
17.158781,-10.802743,18.551119,book
-10.693466,27.656654,1.301559,along
22.79933,0.80524236,0.36084074,midst
8.866852,-10.718844,-28.369963,money
-0.07592965,-24.983644,14.106457,haue
-10.626416,-14.843036,3.8569515,reason
25.75111,7.8252997,-8.648095,silver
15.427208,-30.168919,-4.4263406,thus_saith
-4.029027,-6.9787564,26.636621,m
14.211014,11.787634,-13.878697,waters
5.386254,-6.720661,-23.246796,joy
15.874543,6.2895775,-17.520996,field
13.705067,-4.767035,18.190048,kept
11.67976,14.53795,23.248848,large
27.985483,-13.587359,5.155989,saul
-13.237112,-16.048033,14.377501,ask
20.392918,1.5839975,12.728522,mighty
14.273153,-0.28370285,6.4160123,country
13.646306,24.441772,2.9292703,red
-6.8589406,-18.217796,11.141091,help
-8.835414,-3.6041286,-9.650639,living
